题目T1,作者A1,地址AD,年份YR
初探大数据技术在企业财务在线稽核中的应用,杨扬;,国网能源研究院;,2015
基于大数据的网络竞争情报服务系统构建研究,郭华;史健勇;曹如中;张善英;,上海工程技术大学图书馆;上海工程技术大学管理学院;,2015
多维视角下大数据领域技术创新演进、前沿与特性,党倩娜;罗天雨;曹磊;,同济大学经济与管理学院;上海科技情报研究所;,2015
城市群多层次空间结构分析算法及其应用——以京津冀城市群为例,牛方曲;刘卫东;宋涛;胡志丁;,中国科学院区域可持续发展分析与模拟重点实验室;中国科学院地理科学与资源研究所;中国西南地缘环境与边疆发展协同创新中心;,2015
“大数据”对教育的作用、挑战及教育变革趋势——大数据时代教育变革的最新研究进展综述,胡弼成;王祖霖;,湖南大学教育科学研究院;,2015
基于移动定位大数据的城市空间研究进展,丁亮;钮心毅;宋小冬;,同济大学建筑与城市规划学院;,2015
大数据对生物医学信息服务各环节的影响研究,陈锐;冯占英;李焱;陈建青;董瑞玉;,解放军医学图书馆;,2015
英语“X-able”形态的文体分布与历时演变——基于“大数据”观照下的语料库实证,刘国辉;,上海海事大学外国语学院;,2015
新西兰政府生产力评价及其启示——以教育生产力评价为个案,李文彬;郑方辉;,华南理工大学公共管理学院;华南理工大学法学院;,2015
公众参与环境信息获取的理论分析,张海鸣;,宁夏工商职业技术学院招生与就业指导处;,2015
大数据与中国外交决策机制创新——基于组织决策理论的视角,王存刚;赵阳;,天津师范大学政治文化与政治文明建设研究院;天津师范大学国际关系与全球问题研究所;天津师范大学政治与行政学院;,2015
以数据治理创新社会治安防控体系,单勇;,同济大学法学院;,2015
大数据环境下个人信息的保障性开发利用现状分析及对策研究,刘雅琦;,中南财经政法大学信息与安全工程学院;,2015
我国养老保险转移接续模式创新研究——基于大数据技术,高端君;,重庆工商大学社会与公共管理学院;,2015
我国应用统计学专业与统计行业分析,白雪梅;刘志龙;,东北财经大学统计学院;,2015
论大数据背景下我国高校科研项目过程管理动态跟踪模式的构建,吴定会;翟艳杰;纪志成;,江南大学物联网工程学院;江南大学;,2015
亚洲教师教与学状况分析与提升路径探讨——基于2013年教师教与学状况的国际性大数据调查项目,殷玉新;华逸云;,华东师范大学课程与教学研究所;,2015
同行评议的难点,蔡蓉华;,北京大学图书馆文献计量学研究室;,2015
开放式评价:替代同行评议的新方案,刘益东;,中国科学院自然科学史研究所;,2015
大数据支撑下的创新同行评议,伍军红;汤丽云;肖宏;,《中国学术期刊(光盘版)》电子杂志社有限公司;,2015
论国际视野中的“大数据与教育”,胡乐乐;,中国海洋大学教育系;,2015
A/B测试方法的教育应用研究,王萍1;,上海大学计算中心;,2015
高校“三位一体”综合评价招生模式的效率判据——基于学生群体学业表现的大数据分析,吕慈仙;,厦门大学教育研究院;浙江工商职业技术学院;,2015
大数据下研究生培养管理智能决策支持系统,董素芬;蔡金金;高媛;,河北农业大学信息科学与技术学院;河北农业大学机电工程学院;,2015
大数据变革下出版社的管理战略应对,李勇;马艺文;,重庆大学经济与工商管理学院;四川大学文学与新闻学院;,2015
基于大数据思维的精准扶贫机制研究,郑瑞强;曹国庆;,江西农业大学;,2015
新闻出版业大数据应用新业态分析,闵超;石佳靓;孙建军;,南京大学信息管理学院;,2015
出版企业商务智能水平评价体系构建与应用,刘硕;,北京印刷学院经济管理学院;,2015
网络动态数据挖掘模式及其关键技术,黄晓斌;张兴旺;,中山大学资讯管理学院;桂林理工大学图书馆;,2015
利用Hadoop/HBase的药物基因组数据云存储实践研究,范云满;洪娜;钱庆;方安;,中国医学科学院医学信息研究所;,2015
基于网络大数据的社会经济预测综述,苏志;张骐;,首都经济贸易大学;,2015
大数据背景下微博舆情信息交互模型研究,兰月新;董希琳;苏国强;瞿志凯;,中国人民武装警察部队学院灭火救援技术公安部重点实验室;,2015
情报视角下的智库建设研究,李纲;李阳;,武汉大学信息资源研究中心;,2015
基于机器学习的高校图书馆用户偏好检索系统研究,沈敏;杨新涯;王楷;,重庆大学图书馆;重庆大学自动化学院;,2015
基于移动大数据决策支持的图书馆移动阅读服务研究,马晓亭;,兰州财经大学信息工程学院;,2015
基于专利分析的我国大数据产业技术竞争态势研究,李文娟;刘桂锋;卢章平;,江苏大学科技信息研究所;,2015
论大数据环境下的出版品牌塑造,王萱;,河南大学新闻与传播学院;,2015
大数据时代的异质性需求、网络化供给与新型工业化,张亚斌;马莉莉;,西北大学经济管理学院;,2015
大数据时代财务人员定位与转型的思考,郭万莉;,重庆航运建设发展有限公司;,2015
大数据时代及管理会计变革,黄永金;,工业和信息化部电子科学技术情报研究所;,2015
大数据热潮的分析与审视,孙辰朔;万剑锋;刘山松;,清华大学自动化系;清华大学数据科学研究院;清华大学历史系;,2015
大数据系统的本质特征及其哲学反思,潘平;郑辉;兰立山;,贵州大学计算机科学与技术学院;,2015
“互联网+”趋势下产业链大数据整合与应用研究,孙立;杨斌;杨军;潘坤友;,盐城工学院经济学院;盐城工学院管理学院;,2015
基于公交刷卡大数据分析的城市绿道规划研究——以北京市为例,李方正;李婉仪;李雄;,北京林业大学园林学院;北京林业大学城乡生态环境北京实验室;,2015
基于大数据的设计教育变革途径,汪军;毕静;,中国传媒大学南广学院设计学院;中国传媒大学南广学院;,2015
大数据:历史、范式与认识论伦理,方环非;,浙江师范大学法政学院;厦门大学知识论与认知科学研究中心;,2015
可视化数据在时政报道中的运用技巧和前景分析——以中央电视台《数字两会》报道为例,王志龙;阎安;,南京政治学院;,2015
大数据对国家治理能力现代化的作用及其提升路径,李江静;,北京科技大学马克思主义学院;,2015
交易成本的视角:大数据时代政府治理成本的控制,宁国良;黄侣蕾;廖靖军;,湘潭大学公共管理学院;,2015
我国城市国际关注度的总体结构与特征——基于互联网搜索引擎和社交媒体的大数据分析,吴青熹;陈云松;,中共江苏省委党校社会学教研部;南京大学社会学院;,2015
虚拟社区是否增进社区在线参与?一个基于日常观测数据的社会网络分析案例,陈华珊;,中国社会科学院社会发展战略研究院;,2015
大数据时代的反恐怖情报保障策略研究,陈明;凌云翔;吴树银;,中国人民武装警察部队警官学院管理科学与工程系;国防科技大学信息系统工程重点实验室;,2015
数据开放在应急管理中的应用探析,陈玉梅;赵颖;,暨南大学公共管理学院/应急管理学院GODIE政务大数据开放与社会创新创业研究中心;,2015
大数据与法律思维的转变——基于相关性分析的视角,张浩;,桂林电子科技大学法学院;山东大学法学院博士后科研流动站;,2015
互联网大数据:在政府统计中的运用,董倩;,国家统计局科研所;,2015
大数据及其关键技术的教育应用实证分析,胡水星;,湖州师范学院教师教育学院;,2015
智慧校园智慧服务和运维平台构建研究,于长虹;,洛阳师范学院网络与电化教育中心;,2015
大数据时代高校学困生教育工作的挑战及对策研究,包艳;金越;,上海海事大学物流工程学院;,2015
源于数据高于数据——数据新闻对传统新闻的超越,汪振军;杨雅博;,郑州大学新闻与传播学院;,2015
大数据对商业营销变革的影响分析,陈航;,国家统计局资料中心;,2015
面向决策支持的社会舆情大数据服务机制研究,李梅;张毅;陈瑞学;,华中科技大学公共管理学院;,2015
微博舆情研究中的大数据风险与挑战,余秀才;,中南财经政法大学新闻与文化传播学院;,2015
近三百年中国城市的国际知名度  基于大数据的描述与回归,陈云松;吴青熹;张翼;,南京大学社会学系;江苏省委党校社会学教研部;中国社会科学院社会学研究所;,2015
高校思想政治教育应用大数据的现实困境与诉求,刘辉;,北京大学马克思主义学院;,2015
关于高校网络舆情研判引导方法的思考,段洪涛;于子淼;,上海交通大学网宣办;上海教育系统网络文化发展研究中心;,2015
大数据时代我国体育产业发展的机遇、挑战与对策,谢经良;孙晋海;曹莉;,曲阜师范大学体育学院;山东大学体育学院;,2015
NBA联赛大数据统计研究,杨振兴;白洁;姚健;,首都师范大学体育教研部;国家体育总局体育信息中心;滨州学院体育系;,2015
有机农产品O2O营销模式创新研究,刘路星;郑蓉蓉;吴声怡;,福建农林大学管理学院;福建农林大学安溪茶学院;福建农林大学;,2015
教育大数据应用于MOOC的资源开发范式研究,吴南中;,重庆广播电视大学教学教务科;,2015
大数据实践与研究:批判性反思与研究推动,殷乐;曾国华;时统宇;张建珍;张化冰;,NA,2015
大数据时代科技情报工作的机遇与变革,刘如;吴晨生;李梦辉;,北京市科学技术情报研究所;,2015
大数据环境下的空间信息服务模型研究,饶欣;赵又霖;,湖北商贸学院管理学院;河海大学商学院;,2015
知识管理思想的演化与评价,相丽玲;牛丽慧;,山西大学经济与管理学院;,2015
智慧旅游背景下的大数据应用研究:以旅游需求预测为例,陈涛2;刘庆龙;,华中科技大学公共管理学院;,2015
搭建版权贸易商务平台的可行性分析,郑良;,中南出版传媒集团国际部;,2015
当图书馆遇上“互联网+”,张兴旺;李晨晖;,桂林理工大学图书馆;桂林理工大学现代教育技术中心;,2015
“大数据”应用于经济领域面临的问题与对策,李环;,首都师范大学;,2015
大数据背景下数据治理的网络安全策略,陈火全;,泉州师范学院;,2015
宏观审慎监管的大数据方法:背景、原理及美国的实践,王达;,吉林大学美国研究所;吉林大学经济学院国际经济系;,2015
推进环境保护大数据应用和发展的建议,魏斌;,环境保护部信息中心;,2015
大数据驱动环境管理创新,常杪;冯雁;解惠婷;王世汶;,清华大学环境学院环境管理与政策教研所;清华大学环境学院智慧环境管理创新研究中心;中国社会科学院数量经济与技术经济研究所;,2015
广西环保大数据建设的实践与思考,檀庆瑞;,广西壮族自治区环境保护厅;,2015
发展大数据  构建环境管理  “千里眼、顺风耳、听诊器”——贵州环保大数据实践与发展建议,熊德威;,贵州省环境保护厅党组;,2015
当前科技创新推进动漫产业发展表现分析,许建康;刘凯;,南京信息工程大学传媒与艺术学院;,2015
大数据时代大众文化的主体性问题研究,文豪;,中国传媒大学传播研究院;中共韶关市委党校;,2015
基于角色演变的电视媒体营销模式分析,刘峰;,上海理工大学出版印刷学院;,2015
借助大数据科技力量寻求国家治理变革创新,高小平;,中国行政管理学会;,2015
打造大数据施政平台  提升政府治理现代化水平,张述存;,山东社会科学院;,2015
公共衍生大数据分析与政府决策过程重构:理论演进与研究展望,张楠;,清华大学公共管理学院;清华大学电子政务实验室;,2015
西部地区灾害管理的大数据建设与问题探析,罗江华;,西南大学西南民族教育与心理研究中心;,2015
关于慕课若干认识误区的思考,祁涛;王应解;,中央电化教育馆;中国人民大学信息资源管理学院;,2015
当前社会舆情的结构性特点与分析性发现——基于2014年中国社会网络舆情的大数据分析,喻国明;,中国人民大学新闻学院;,2015
大数据背景下国内信息咨询业发展对策分析,方梅青;,郑州大学;,2015
大数据时代网络舆情管理变革探讨,郭渐强;曾望峰;,湖南大学法学院;,2015
大数据时代中国人口科学研究与创新,王广州;,中国社会科学院人口与劳动经济研究所;,2015
大数据与数据工程学,李腊生;刘磊1;刘文文;,天津财经大学中国经济统计研究中心;天津财经大学;,2015
日本《大数据时代的人才培养》倡议:制定背景、研究方向、计划及举措,刘大北;贾一苇;,国家信息中心公共技术服务部;,2015
大数据环境下嵌入泛在学习过程的信息服务模式研究,丁继红;熊才平;刘静;刁楠楠;,华中师范大学教育信息技术学院;,2015
教育大数据的应用模式与政策建议,杨现民;王榴卉;唐斯斯;,江苏师范大学江苏省教育信息化工程技术研究中心;国家信息中心;,2015
大数据时代的跨国比较研究与比较教育学科转型,唐晓玲;徐辉;,西南大学教育学部;四川外国语大学;,2015
大数据时代碎片化学习研究,王承博;李小平;赵丰年;张琳;,北京理工大学教育研究院;,2015
大数据时代高校网络舆情管理主体的能动性研究,王超;王磊;李楠;,南开大学马克思主义教育学院;,2015
高等教育的数据治理研究,许晓东;王锦华;卞良;孟倩;,华中科技大学公共管理学院;华中科技大学教育科学研究院;渤海大学教育与体育学院;,2015
图书馆大数据服务背景下用户隐私权危机的治理策略,任竞;易红;,重庆图书馆;,2015
大数据背景下大学图书馆开展数据素养教育的思考,何海地;,电子科技大学中山学院;,2015
运用互联网思维推进科技期刊数字化进程,陈呈超;朱宝象;谢骏;马伟平;庞旻;,中国海洋大学期刊社;青岛大学医学院学报编辑部;,2015
论大数据在图书馆管理与服务中的应用,张毅1;赵雅洁;,南开大学图书馆;,2015
再论大数据在我国图书馆的应用及推进,江云;,重庆理工大学图书馆;,2015
大数据环境下情报学方法在技术预测中的应用研究,孙秋菱;,吉林省经济管理干部学院;,2015
大数据时代的信息分析变革研究,文庭孝;姜坷炘;赵阳1;肖文芳;,中南大学信息安全与大数据研究院;,2015
专利地图和知识图谱视角的大数据比较研究,刘桂锋;卢章平;宋新平;,江苏大学科技信息研究所;江苏大学管理学院;,2015
大数据技术对管理会计的影响,吴辉;刘芳;,北京工商大学商学院;,2015
大数据环境下基于孤立点分析的审计抽样方法,孙玥璠;宋迪;,北京工商大学商学院;国有资产管理协同创新中心;,2015
大数据下的电视节目创新创作,王燕;,福建广播影视集团海峡电视台;,2015
大数据时代档案编研的SWOT分析,程结晶;周咪咪;王齐;,曲阜师范大学传媒学院;南昌大学人文学院历史系;,2015
大数据时代的非现场监管,胡维;,中国人民银行内审司;,2015
大数据时代我国金融数据的服务创新,侯敬文;程功勋;,北京邮电大学国际学院;江西省农村信用社联合社;,2015
考虑海洋环境突发事件的大数据海陆协同治理体系研究,李健;赵世卓;史浩;,天津理工大学管理学院;天津大学管理与经济学部;,2015
大数据时代的认知转向及其对科研管理的影响,闫奎铭;孙雍君;,中国科学院大学人文学院;北京科技大学校团委;北京科技大学文法学院;,2015
基于大数据的食源性疾病事件探测与风险评估,郭旦怀;崔文娟;郭云昌;黎建辉;,中国科学院计算机网络信息中心科学数据中心;国家食品安全风险评估中心;,2015
我国环境监测信息化建设发展方向及建议,罗海江;,中国环境监测总站;,2015
城市规划中的大数据应用构想,吴昊;彭正洪;,武汉大学城市设计学院;,2015
大数据方法与外语教学创新研究——以“2015年百万同题英文写作研究”为例,王哲;张跃;,中山大学外语教学中心;北京语言智能协同研究院;,2015
大数据时代的公众公共艺术话语权探析,张淞;江哲丰;,湖南工程学院设计艺术学院;,2015
大数据、民意形态变迁与数字协商民主,汪波;,北京师范大学政府管理学院;北京师范大学行政管理系;,2015
国家治理进程中的政府大数据开放利用研究,王芳;陈锋;,南开大学商学院网络社会治理研究中心;南开大学信息资源管理系;南开大学商学院信息资源管理系;,2015
大数据时代民族事务治理创新研究,石亚洲;,中央民族大学;,2015
大数据时代企业专利管理面临的问题与应对策略,顾毓波;,NA,2015
基于政府管理视角的大数据环境下个人信息保护问题研究,王少辉;印后杰;,武汉大学政治与公共管理学院;,2015
大数据技术实现社会治理的维度分析,苏玉娟;,中共山西省委党校;,2015
大数据下我国电子政务的变革研究,薛明轩;杜晓翠;杨思思;,大连理工大学管理与经济学部;吉林农业大学信息技术学院;云南农业大学农学院;吉林省科学技术信息研究所;,2015
应急管理领域的大数据研究:西方研究进展与启示,邵东珂;吴进进;彭宗超;,清华大学公共管理学院;江西财经大学财税与公共管理学院;清华大学中国应急管理研究基地;,2015
大数据背景下的网络隐私法律保护:搜索引擎、社交媒体与被遗忘权,周丽娜;,中国传媒大学;,2015
大数据时代的社会治理创新与居民信用管理,章政;闵瑛美;王大树;,北京大学经济学院党委;北京大学中国信用研究中心;北京大学经济学院;,2015
大数据时代背景下整体性治理理论应用研究,韩兆柱;翟文康;,燕山大学文法学院;,2015
大数据时代数据的保护及其二次利用侵权的规则选择——基于“卡-梅框架”的分析,刘铁光;吴玉宝;,湘潭大学法学院;,2015
大数据背景下湖南省网络信息安全框架设计,胡伏湘;,长沙商贸旅游职业技术学院;中南林业科技大学;,2015
大数据在事实认定中作用机制分析,周蔚;,中国政法大学;,2015
大数据时代行政决策评估进展研究,杨润美;邓崧;,云南大学公共管理学院;,2015
大数据开发利用可能要考虑的几个问题,李国正;,国家统计局纪检监察局;,2015
构建招生考试就业服务大数据平台,周晶;,江苏省教育考试院;,2015
大数据背景下我国政府统计管理的创新模式,杨美沂;林勇;,西北师范大学经济学院;,2015
大数据时代的高维统计:稀疏建模的发展及其应用,李仲达;林建浩;王美今;,中山大学岭南学院;,2015
大数据的整合分析方法,马双鸽;王小燕;方匡南;,美国耶鲁大学生物统计系;厦门大学数据挖掘研究中心;湖南大学金融与统计学院;厦门大学经济学院;,2015
SOM和PCA对体质健康数据的模式识别及可视化分析——以学生体质地域特征为视角,石晓峰;王飞;赵阳2;,山西大学体育学院;山西大学体育科学研究所;,2015
基于HADOOP的大数据描述统计分析,宋廷山;郭思亮;韩伟一1;,齐鲁师范学院经济与管理学院;上海万达信息科技股份公司社保事业部;,2015
基于网络搜索数据的住房价格预期与实际价格波动分析,段洪涛1;厉伟;,哈尔滨工业大学经济与管理学院;河海大学商学院;,2015
大数据时代高等教育改革的价值取向及实现路径,甘容辉;何高大;,广东金融学院外语系;华南农业大学外国语学院;,2015
基于大数据应用的个性化教学信息服务平台构建研究,喻小继;,长春师范大学外语学院;,2015
大数据时代地方高校实现协同创新信息管理平台构建及路径,肖艳;,北华大学经济管理学院;,2015
网络消费者信心指数和物价波动的相关性研究,刘伟江;李映桥;隋建利;,吉林大学数量经济研究中心;,2015
基于Citespace的大数据研究可视化分析,赵建保;黄晓斌;,广东农工商职业技术学院计算机系;中山大学资讯管理学院;,2015
数字图书馆移动视觉搜索机制建设的若干关键问题,张兴旺;李晨晖;,桂林理工大学图书馆;桂林理工大学现代教育技术中心;,2015
公共文化服务大数据的来源、采集与分析研究,嵇婷;吴政;,南京图书馆;,2015
科学论文的科学计量分析:数据、方法与用途的整合框架,王贤文;方志超;胡志刚;,大连理工大学科学学与科技管理研究所WISE实验室;,2015
大数据环境下移动数字图书馆信息推送策略研究,李可风;沈扬;,南昌大学管理学院信息管理系;,2015
大数据背景下信息服务中的用户隐私权保护,周姗姗;徐坤;,吉林医药学院公共卫生学院;,2015
SWOT视阈下高校图书馆大数据管理践行的实然落差与应然路径,兰孝慈;,东北林业大学图书馆;,2015
图书馆“大数据”的知识存储规划研究,田青;,长春师范大学图书馆;,2015
互联网金融品牌形象传播效果评价模型构建与实证研究——以支付宝和积木盒子品牌为例,邓恩;,湖南大学;湖南广播电视大学;,2015
大数据与物联网在高校图书馆的应用前景分析与适应性比较研究,高荣;,盐城工业职业技术学院信息技术中心;,2015
基于数据挖掘的大数据管理模型研究,吴晓英;明均仁;,重庆科技学院图书馆;武汉工程大学管理学院;,2015
大数据环境下全面预算系统的构建,闫华红;毕洁;,首都经济贸易大学会计学院;,2015
基于大数据的互联网电视运营分析体系研究,孔彬;匡文波;,中国人民大学新闻学院;国家新闻出版广电总局广播电视规划院信息研究所;,2015
大数据时代如何用数据知道更多,李林杰;,北京中传瑞智市场调查有限公司;,2015
大数据背景下的法制媒体转型与发展,巢立明;,华东政法大学新闻系;,2015
大数据技术的陷阱,郑彦;,华东政法大学传播法研究中心;,2015
大数据时代隐私保护与数据利用的博弈,任孚婷;,华东政法大学传播法研究中心;,2015
北京智慧城市发展现状与建设对策研究,王红霞;,北京青年政治学院计算机系;,2015
基于大数据算法的纳税遵从风险识别以及影响因子分析,孙存一;赵瑜1;,中国人民大学金融财政学院;,2015
大数据时代价值发现目标下的财务组织变革——以IBM为例,李任斯;刘红霞;,中央财经大学会计学院;,2015
大数据背景下政府环境责任审计监督全覆盖的路径研究,马志娟;梁思源;,南京审计学院审计与会计学院;,2015
基于可拓学理论的高维大数据相似性研究,袁瑞萍;师鸣若;,北京物资学院信息学院;,2015
大数据背景下网络购物的物流增值研究,张夏恒;马天山;,长安大学经济与管理学院;,2015
基于全程英语教育项目的大数据监护服务实践,王彩虹;高新琳;高旭阳;,湖北师范学院图书馆;华中科技大学自动化学院;湖北师范学院外国语学院;,2015
大数据环境中非物质文化遗产的信息分析,达妮莎;王爱玲;,大连理工大学建筑与艺术学院;大连理工大学人文与社会科学学部;,2015
大数据与廉政制度创新,刘筱勤;,南京邮电大学;,2015
大数据时代的政府治理分析,何欣峰;,郑州大学公共管理学院;,2015
新互联网对公共决策的影响及对策建议,曹光煜;傅昌波;,中国传媒大学新闻学院;北京师范大学中国社会管理研究院、社会学院;,2015
内物联网模式下的智慧教育公共服务云平台的构建,王谦;陈琳1;,四川大学公共管理学院;,2015
大数据载体给思想政治教育带来的伦理挑战及对策,胡子祥;余姣;,西南交通大学马克思主义学院;,2015
大数据视阈下学位点自我评估体系建设研究,李长波;张新厂;,南京信息工程大学研究生院研究生教育与学位办公室;南京信息工程大学发展规划与学科建设处;,2015
基于学习分析的虚拟学习社区社会性交互研究,戴心来;王丽红;崔春阳;李玉斌;,辽宁师范大学计算机与信息技术学院;,2015
唯物辩证法视阈下智能城市治理的动力—实时分析—内在矛盾,蒋显荣;,长沙理工大学社会治理创新研究中心;,2015
国内新闻出版产业大数据应用障碍分析,石佳靓;吴鼎;,南京大学信息管理学院;,2015
大数据时代数字图书馆面临的机遇和挑战,苏新宁;,"南京大学信息管理学院,江苏省数据工程与知识服务重点实验室;",2015
国外图书馆用户隐私保护指南文本分析与启示,田淑娴;许春漫;,福建师范大学社会历史学院图书馆学系;,2015
大数据环境下图书馆文献资源建设模式的变革,袁芳;,南昌大学图书馆;,2015
数字图书馆与大数据:研究范式的分析、比较与融合,张兴旺;李晨晖;,桂林理工大学图书馆;中山大学资讯管理学院;桂林理工大学现代教育技术中心;,2015
国内图书情报领域大数据研究进展,张晓瑜;邹凯;毛太田;,湘潭大学公共管理学院;,2015
数据期刊带给图书馆的影响与挑战,王玲;,西安石油大学图书馆;,2015
“互联网+”环境下的图书馆服务转型与发展,韩翠峰;,兰州财经大学图书馆;,2015
“互联网+”视角下的图书馆数据素养教育研究,杨晓菲;,大连市委党校图书馆;,2015
大数据背景下的城市交通理论变革,杨东援;段征宇;,NA,2015
中国足球俱乐部空间分布变化及其影响力分析,王德智;方源敏;邱彭华;,昆明理工大学国土资源工程学院;海南师范大学地理与旅游学院;,2015
美国预测警务中基于大数据的犯罪情报分析,吕雪梅;,山东警察学院;,2015
大数据时代教育科研管理的变革,姚慧;,南京市教育科学研究所课题规划研究室;,2015
大数据时代体育文化双向通道实证研究,许惠玲;王石峰;许仲槐;徐文迪;,广州体育学院图书馆;广州体育学院研究生部;广州市老年人体育协会;,2015
“互联网+”背景下快递末端协同配送模式的构建,杨萌柯;周晓光;,北京邮电大学计算机学院;北京邮电大学自动化学院;,2015
大数据关键技术在数字文化资源统一揭示与服务平台中的应用,薛尧予;,国家图书馆;,2015
大数据时代高校图书馆嵌入式知识服务研究,陈廉芳;许春漫;,福建医科大学图书馆;福建师范大学社会发展学院图书馆学系;,2015
试析大数据在电子文件管理中的应用,余力杨;,国家海洋局天津海水淡化与综合利用研究所;,2015
大数据时代新闻生产新模式:传感器新闻的理念、实践与思考,许向东;,中国人民大学新闻学院;中国人民大学新闻与社会发展中心;,2015
大数据背景下档案社会化媒体信息的挖掘与利用探析,王兰成;黄永勤;,南京政治学院上海校区军事信息管理系;,2015
规划管理必须应对众包、众筹、众创的共享理念,周素红;,中山大学地理科学与规划学院;,2015
大数据中的中国世界文化遗产:500年国际知名度分析,陈云松;孙艳;严飞;,南京大学社会学院;无锡职业技术学院;斯坦福大学亚太中心;,2015
大数据视野下的19世纪“海上丝绸之路”——以丝绸、瓷器与茶叶的文化影响力为中心,龚为纲;罗教讲;,武汉大学社会发展研究院大数据与计算社会科学研究中心;武汉大学社会系;,2015
统计学要在大数据科学中扮演重要角色——ASA发布统计学科建设的发展报告,赵彦云;刘子烨;,中国人民大学统计学院;,2015
大数据时代创新统计数据分析方式的思考,王晨曦;,山东省即墨市统计局;,2015
大数据背景下CPI短期预测,张洋;,天津财经大学;,2015
大数据时代背景下中美图书情报专业研究生课程体系建设比较研究,王晰巍;郭宇;石静;张明惠;,吉林大学管理学院;,2015
iSchool院校的大数据相关课程设置及其特点分析,司莉;何依;,武汉大学信息资源研究中心;武汉大学信息管理学院;,2015
从大数据到社会计算:企业Wiki传播的数据控制研究,段淳林;闫济民;,华南理工大学新闻与传播学院;,2015
大数据网络舆情信息情感维度要素的关联模型构建,黄微;刘英杰;王洁晶;韩瑞雪;,吉林大学管理学院;,2015
大数据环境下多媒体网络舆情传播要素及运行机理研究,黄微;李瑞;孟佳林;,吉林大学管理学院;中国环境管理干部学院;,2015
基于EndNote和RefViz的大数据领域研究发展状况分析,年福星;蒋福兴;赵小苏;,公安部第一研究所;,2015
高校图书馆大数据服务现实困境与应用模式分析,何胜;熊太纯;周冰;柳益君;武群辉;,江苏理工学院计算机工程学院;常州市云计算与智能信息处理重点实验室;江苏理工学院图书馆;,2015
智慧图书馆在大数据环境下的智慧分析,陈卫静;,电子科技大学图书馆;,2015
金融业大数据应用问题研究,陈进;朱宁;,对外经济贸易大学信息学院;,2015
大数据时代科技情报服务的挑战与思考,裴雷;孙建军;肖璐;,南京大学信息管理学院;,2015
大数据环境下的图书馆员角色定位与创新服务研究,邱庆东;,广东警官学院图书馆;,2015
环境嬗变下的管理会计变革与创新——中国会计学会管理会计专业委员会2015学术年会暨首届中国管理会计高层论坛综述,徐光华;沈弋;邓德强;,南京理工大学经济管理学院;,2015
大数据思维在纳税评估选案建模中的应用,刘尚希;孙静;王亚军;,财政部财政科学研究所;,2015
试论大数据时代的税制体系重构,刘小川;桑达卓玛;,上海财经大学;,2015
大数据背景下推进税收治理的探索,余静;,江苏省地方税务局;,2015
税收数据在大数据中的利用探析,任东飚;费铭海;袁明昌;,江苏省无锡市江阴地方税务局;,2015
互联网搜索行为能帮助我们预测宏观经济吗?,刘涛雄;徐晓飞;,"清华大学经济学研究所,清华大学创新与发展研究院;",2015
基于大数据背景的税收风险管理,姚键;王周飞;陈爱明;,江苏省地方税务局;江苏省仪征市地方税务局;江苏省扬州市地方税务局;,2015
网络语言文化行为的大数据生成,陈祥雨;陈美华;,东南大学外国语学院;,2015
数据挖掘视角下的情报分析研究,王翔;侯威;,安徽省科学技术情报研究所;合肥工业大学计算机与信息学院;,2015
大数据研究的现状、热点演进与前沿分析,刘飞;牛丽慧;金昌博;,新疆医科大学图书馆;山西大学经济与管理学院;广州医科大学;,2015
图书馆大数据平台敏感数据保护研究,陈臣;,兰州商学院信息中心;,2015
腾讯电影的受众整合路径分析,王文杰;王跃;,对外经济贸易大学公共管理学院;,2015
DCI社会科学数据分析研究,彭国莉;吕先竞;刘文君;,西华大学图书馆;,2015
学习科学:推动教育的深层变革,尚俊杰;庄绍勇;陈高伟;,北京大学教育学院;香港中文大学教育学院;香港大学教育学院;,2015
社交媒体国际学术研究综述——基于SSCI高被引论文的观察,徐剑;商晓娟;,上海交通大学人文艺术研究院;,2015
MOOC热点研究问题探析——全国首届MOOC时代高等外语教学学术研讨会启示,戴朝晖;,上海外国语大学研究生部;上海大学外国语学院;,2015
大数据时代的版权与文化,阎晓宏;,国家新闻出版广电总局;国家版权局;,2015
竞争性假设分析法在大型突发性事件分析中的应用研究——以“马航MH370失联事件”为例,施国良;周晓帆;,河海大学商学院信息管理系;,2015
网络时代的治理现代化:技术、管制与民主,田飞龙;,北京航空航天大学人文与社会科学高等研究院;,2015
大数据时代的统计主体利益均等化路径研究,罗放华;,湖南城市学院商学院;,2015
政府职能转变中的地方政府形象重塑与传播创新研究,苏云;韩晶;,兰州大学管理学院;兰州理工大学外国语学院;,2015
被遗忘权的中国本土化及法律适用,杨立新;韩煦;,教育部人文社会科学重点研究基地中国人民大学民商事法律科学研究中心;中国民法学研究会;北京市消费者权益保护法学会;中国人民大学法学院;,2015
信息技术时代:哲学社会科学研究面临的挑战及其应对措施,荆林波;,中国社会科学院中国社会科学评价中心;,2015
美国职业篮球联赛数据管理模式所引发的结构变异,王峰;,陕西理工学院体育学院;,2015
MOOCs对思想政治理论课教学的挑战与启示,叶承芳;,北京青年政治学院法律系;,2015
大数据视阈下的学术期刊:挑战与对策,韩璞庚;,江苏省社会科学院;,2015
大数据环境下传统媒体广告经营创新,刘志杰;,河南大学新闻与传播学院;,2015
